"10,35,15 ",",1"
"10,35,16 ",",2"
"10,35,17 ",",3"
"10,35,18 ",",4"
"10,35,19 ",",5"
"10,35,20 ",",6"
"10,35,21 ",",7"
"10,35,22 ",",8"
"10,35,23 ",",9"
"10,35,24 ",",10"
"10,35,25 ",",11"
"10,35,26 ",",12"
"10,35,27 ",",13"
"10,35,28 ",",14"
"10,35,29 ",",15"
"10,35,30 ",",16"
"10,35,31 ",",17"
"10,35,32 ",",18"
"10,35,33 ",",19"
"10,35,34 ",",20"
"10,35,35 ",",21"
"10,35,36 ",",22"
"10,35,37 ",",23"
"10,35,38 ",",24"
"10,35,39 ",",25"
"10,35,40 ",",26"
"10,35,41 ",",27"
"10,35,42 ",",28"
"10,35,43 ",",29"
"10,35,44 ",",30"
"10,35,45 ",",31"
"10,35,46 ",",32"
"10,35,47 ",",33"
"10,35,48 ",",34"
"10,35,49 ",",35"
"10,35,50 ",",36"
"10,35,51 ",",37"
"10,35,52 ",",38"
"10,35,53 ",",39"
"10,35,54 ",",40"
"10,35,55 ",",41"
"10,35,56 ",",42"
"10,35,57 ",",43"
"10,35,58 ",",44"
"10,35,59 ",",45"
"10,36,00 ",",46"
"10,36,01 ",",47"
"10,36,02 ",",48"
"10,36,03 ",",49"
"10,36,04 ",",50"
"10,36,05 ",",51"
"10,36,06 ",",52"
"10,36,07 ",",53"
"10,36,08 ",",54"
"10,36,09 ",",55"
"10,36,10 ",",56"
"10,36,11 ",",57"
"10,36,12 ",",58"
"10,36,13 ",",59"
"10,36,14 ",",60"
"10,36,15 ",",61"
"10,36,16 ",",62"
"10,36,17 ",",63"
"10,36,18 ",",64"
"10,36,19 ",",65"
"10,36,20 ",",66"
"10,36,21 ",",67"
"10,36,22 ",",68"
"10,36,23 ",",69"
"10,36,24 ",",70"
"10,36,25 ",",71"
"10,36,26 ",",72"
"10,36,27 ",",73"
"10,36,28 ",",74"
"10,36,29 ",",75"
"10,36,30 ",",76"
"10,36,31 ",",77"
"10,36,32 ",",78"
"10,36,33 ",",79"
"10,36,34 ",",80"
"10,36,35 ",",81"
"10,36,36 ",",82"
"10,36,37 ",",83"
"10,36,38 ",",84"
"10,36,39 ",",85"
"10,36,40 ",",86"
"10,36,41 ",",87"
"10,36,42 ",",88"
"10,36,43 ",",89"
"10,36,44 ",",90"
"10,36,45 ",",91"
"10,36,46 ",",92"
"10,36,47 ",",93"
"10,36,48 ",",94"
"10,36,49 ",",95"
"10,36,50 ",",96"
"10,36,51 ",",97"
"10,36,52 ",",98"
"10,36,53 ",",99"
"10,36,54 ",",100"
"10,36,55 ",",101"
"10,36,56 ",",102"
"10,36,57 ",",103"
"10,36,58 ",",104"
"10,36,59 ",",105"
"10,37,00 ",",106"
"10,37,01 ",",107"
"10,37,02 ",",108"
"10,37,03 ",",109"
"10,37,04 ",",110"
"10,37,05 ",",111"
"10,37,06 ",",112"
"10,37,07 ",",113"
"10,37,08 ",",114"
"10,37,09 ",",115"
"10,37,10 ",",116"
"10,37,11 ",",117"
"10,37,12 ",",118"
"10,37,13 ",",119"
"10,37,14 ",",120"
"10,37,15 ",",121"
"10,37,16 ",",122"
"10,37,17 ",",123"
"10,37,18 ",",124"
"10,37,19 ",",125"
"10,37,20 ",",126"
"10,37,21 ",",127"
"10,37,22 ",",128"
"10,37,23 ",",129"
"10,37,24 ",",130"
"10,37,25 ",",131"
"10,37,26 ",",132"
"10,37,27 ",",133"
"10,37,28 ",",134"
"10,37,29 ",",135"
"10,37,30 ",",136"
"10,37,31 ",",137"
"10,37,32 ",",138"
"10,37,33 ",",139"
"10,37,34 ",",140"
"10,37,35 ",",141"
"10,37,36 ",",142"
"10,37,37 ",",143"
"10,37,38 ",",144"
"10,37,39 ",",145"
"10,37,40 ",",146"
"10,37,41 ",",147"
"10,37,42 ",",148"
"10,37,43 ",",149"
"10,37,44 ",",150"
"10,37,45 ",",151"
"10,37,46 ",",152"
"10,37,47 ",",153"
"10,37,48 ",",154"
"10,37,49 ",",155"
"10,37,50 ",",156"
"10,37,51 ",",157"
"10,37,52 ",",158"
"10,37,53 ",",159"
"10,37,54 ",",160"
"10,37,55 ",",161"
"10,37,56 ",",162"
"10,37,57 ",",163"
"10,37,58 ",",164"
"10,37,59 ",",165"
"10,38,00 ",",166"
"10,38,01 ",",167"
"10,38,02 ",",168"
"10,38,03 ",",169"
"10,38,04 ",",170"
"10,38,05 ",",171"
"10,38,06 ",",172"
"10,38,07 ",",173"
"10,38,08 ",",174"
"10,38,09 ",",175"
"10,38,10 ",",176"
"10,38,11 ",",177"
"10,38,12 ",",178"
"10,38,13 ",",179"
"10,38,14 ",",180"
"10,38,15 ",",181"
"10,38,16 ",",182"
"10,38,17 ",",183"
"10,38,18 ",",184"
"10,38,19 ",",185"
"10,38,20 ",",186"
"10,38,21 ",",187"
"10,38,22 ",",188"
"10,38,23 ",",189"
"10,38,24 ",",190"
"10,38,25 ",",191"
"10,38,26 ",",192"
"10,38,27 ",",193"
"10,38,28 ",",194"
"10,38,29 ",",195"
"10,38,30 ",",196"
"10,38,31 ",",197"
"10,38,32 ",",198"
"10,38,33 ",",199"
"10,38,34 ",",200"
"10,38,35 ",",201"
"10,38,36 ",",202"
"10,38,37 ",",203"
"10,38,38 ",",204"
"10,38,39 ",",205"
"10,38,40 ",",206"
"10,38,41 ",",207"
"10,38,42 ",",208"
"10,38,43 ",",209"
"10,38,44 ",",210"
"10,38,45 ",",211"
"10,38,46 ",",212"
"10,38,47 ",",213"
"10,38,48 ",",214"
"10,38,49 ",",215"
"10,38,50 ",",216"
"10,38,51 ",",217"
"10,38,52 ",",218"
"10,38,53 ",",219"
"10,38,54 ",",220"
"10,38,55 ",",221"
"10,38,56 ",",222"
"10,38,57 ",",223"
"10,38,58 ",",224"
"10,38,59 ",",225"
"10,39,00 ",",226"
"10,39,01 ",",227"
"10,39,02 ",",228"
"10,39,03 ",",229"
"10,39,04 ",",230"
"10,39,05 ",",231"
"10,39,06 ",",232"
"10,39,07 ",",233"
"10,39,08 ",",234"
"10,39,09 ",",235"
"10,39,10 ",",236"
"10,39,11 ",",237"
"10,39,12 ",",238"
"10,39,13 ",",239"
"10,39,14 ",",240"
"10,39,15 ",",241"
"10,39,16 ",",242"
"10,39,17 ",",243"
"10,39,18 ",",244"
"10,39,19 ",",245"
"10,39,20 ",",246"
"10,39,21 ",",247"
"10,39,22 ",",248"
"10,39,23 ",",249"
"10,39,24 ",",250"
"10,39,25 ",",251"
"10,39,26 ",",252"
"10,39,27 ",",253"
"10,39,28 ",",254"
"10,39,29 ",",255"
"10,39,30 ",",256"
"10,39,31 ",",257"
"10,39,32 ",",258"
"10,39,33 ",",259"
"10,39,34 ",",260"
"10,39,35 ",",261"
"10,39,36 ",",262"
"10,39,37 ",",263"
"10,39,38 ",",264"
"10,39,39 ",",265"
"10,39,40 ",",266"
"10,39,41 ",",267"
"10,39,42 ",",268"
"10,39,43 ",",269"
"10,39,44 ",",270"
"10,39,45 ",",271"
"10,39,46 ",",272"
"10,39,47 ",",273"
"10,39,48 ",",274"
"10,39,49 ",",275"
"10,39,50 ",",276"
"10,39,51 ",",277"
"10,39,52 ",",278"
"10,39,53 ",",279"
"10,39,54 ",",280"
"10,39,55 ",",281"
"10,39,56 ",",282"
"10,39,57 ",",283"
"10,39,58 ",",284"
"10,39,59 ",",285"
"10,40,00 ",",286"
"10,40,01 ",",287"
"10,40,02 ",",288"
"10,40,03 ",",289"
"10,40,04 ",",290"
"10,40,05 ",",291"
"10,40,06 ",",292"
"10,40,07 ",",293"
"10,40,08 ",",294"
"10,40,09 ",",295"
"10,40,10 ",",296"
"10,40,11 ",",297"
"10,40,12 ",",298"
"10,40,13 ",",299"
"10,40,14 ",",300"
"10,40,15 ",",301"
"10,40,16 ",",302"
"10,40,17 ",",303"
"10,40,18 ",",304"
"10,40,19 ",",305"
"10,40,20 ",",306"
"10,40,21 ",",307"
"10,40,22 ",",308"
"10,40,23 ",",309"
"10,40,24 ",",310"
"10,40,25 ",",311"
"10,40,26 ",",312"
"10,40,27 ",",313"
"10,40,28 ",",314"
"10,40,29 ",",315"
"10,40,30 ",",316"
"10,40,31 ",",317"
"10,40,32 ",",318"
"10,40,33 ",",319"
"10,40,34 ",",320"
"10,40,35 ",",321"
"10,40,36 ",",322"
"10,40,37 ",",323"
"10,40,38 ",",324"
"10,40,39 ",",325"
"10,40,40 ",",326"
"10,40,41 ",",327"
"10,40,42 ",",328"
"10,40,43 ",",329"
"10,40,44 ",",330"
"10,40,45 ",",331"
"10,40,46 ",",332"
"10,40,47 ",",333"
"10,40,48 ",",334"
"10,40,49 ",",335"
"10,40,50 ",",336"
"10,40,51 ",",337"
"10,40,52 ",",338"
"10,40,53 ",",339"
"10,40,54 ",",340"
"10,40,55 ",",341"
"10,40,56 ",",342"
"10,40,57 ",",343"
"10,40,58 ",",344"
"10,40,59 ",",345"
"10,41,00 ",",346"
"10,41,01 ",",347"
"10,41,02 ",",348"
"10,41,03 ",",349"
"10,41,04 ",",350"
"10,41,05 ",",351"
"10,41,06 ",",352"
"10,41,07 ",",353"
"10,41,08 ",",354"
"10,41,09 ",",355"
"10,41,10 ",",356"
"10,41,11 ",",357"
"10,41,12 ",",358"
"10,41,13 ",",359"
"10,41,14 ",",360"
"10,41,15 ",",361"
"10,41,16 ",",362"
"10,41,17 ",",363"
"10,41,18 ",",364"
"10,41,19 ",",365"
"10,41,20 ",",366"
"10,41,21 ",",367"
"10,41,22 ",",368"
"10,41,23 ",",369"
"10,41,24 ",",370"
"10,41,25 ",",371"
"10,41,26 ",",372"
"10,41,27 ",",373"
"10,41,28 ",",374"
"10,41,29 ",",375"
"10,41,30 ",",376"
"10,41,31 ",",377"
"10,41,32 ",",378"
"10,41,33 ",",379"
"10,41,34 ",",380"
"10,41,35 ",",381"
"10,41,36 ",",382"
"10,41,37 ",",383"
"10,41,38 ",",384"
"10,41,39 ",",385"
"10,41,40 ",",386"
"10,41,41 ",",387"
"10,41,42 ",",388"
"10,41,43 ",",389"
"10,41,44 ",",390"
"10,41,45 ",",391"
"10,41,46 ",",392"
"10,41,47 ",",393"
"10,41,48 ",",394"
"10,41,49 ",",395"
"10,41,50 ",",396"
"10,41,51 ",",397"
"10,41,52 ",",398"
"10,41,53 ",",399"
"10,41,54 ",",400"
"10,41,55 ",",401"
"10,41,56 ",",402"
"10,41,57 ",",403"
"10,41,58 ",",404"
"10,41,59 ",",405"
"10,42,00 ",",406"
"10,42,01 ",",407"
"10,42,02 ",",408"
"10,42,03 ",",409"
"10,42,04 ",",410"
"10,42,05 ",",411"
"10,42,06 ",",412"
"10,42,07 ",",413"
"10,42,08 ",",414"
"10,42,09 ",",415"
"10,42,10 ",",416"
"10,42,11 ",",417"
"10,42,12 ",",418"
"10,42,13 ",",419"
"10,42,14 ",",420"
"10,42,15 ",",421"
"10,42,16 ",",422"
"10,42,17 ",",423"
"10,42,18 ",",424"
"10,42,19 ",",425"
"10,42,20 ",",426"
"10,42,21 ",",427"
"10,42,22 ",",428"
"10,42,23 ",",429"
"10,42,24 ",",430"
"10,42,25 ",",431"
"10,42,26 ",",432"
"10,42,27 ",",433"
"10,42,28 ",",434"
"10,42,29 ",",435"
"10,42,30 ",",436"
"10,42,31 ",",437"
"10,42,32 ",",438"
"10,42,33 ",",439"
"10,42,34 ",",440"
"10,42,35 ",",441"
"10,42,36 ",",442"
"10,42,37 ",",443"
"10,42,38 ",",444"
"10,42,39 ",",445"
"10,42,40 ",",446"
"10,42,41 ",",447"
"10,42,42 ",",448"
"10,42,43 ",",449"
"10,42,44 ",",450"
"10,42,45 ",",451"
"10,42,46 ",",452"
"10,42,47 ",",453"
"10,42,48 ",",454"
"10,42,49 ",",455"
"10,42,50 ",",456"
"10,42,51 ",",457"
"10,42,52 ",",458"
"10,42,53 ",",459"
"10,42,54 ",",460"
"10,42,55 ",",461"
"10,42,56 ",",462"
"10,42,57 ",",463"
"10,42,58 ",",464"
"10,42,59 ",",465"
"10,43,00 ",",466"
"10,43,01 ",",467"
"10,43,02 ",",468"
"10,43,03 ",",469"
"10,43,04 ",",470"
"10,43,05 ",",471"
"10,43,06 ",",472"
"10,43,07 ",",473"
"10,43,08 ",",474"
"10,43,09 ",",475"
"10,43,10 ",",476"
"10,43,11 ",",477"
"10,43,12 ",",478"
"10,43,13 ",",479"
"10,43,14 ",",480"
"10,43,15 ",",481"
"10,43,16 ",",482"
"10,43,17 ",",483"
"10,43,18 ",",484"
"10,43,19 ",",485"
"10,43,20 ",",486"
"10,43,21 ",",487"
"10,43,22 ",",488"
"10,43,23 ",",489"
"10,43,24 ",",490"
"10,43,25 ",",491"
"10,43,26 ",",492"
"10,43,27 ",",493"
"10,43,28 ",",494"
"10,43,29 ",",495"
"10,43,30 ",",496"
"10,43,31 ",",497"
"10,43,32 ",",498"
"10,43,33 ",",499"
"10,43,34 ",",500"
"10,43,35 ",",501"
"10,43,36 ",",502"
"10,43,37 ",",503"
"10,43,38 ",",504"
"10,43,39 ",",505"
"10,43,40 ",",506"
"10,43,41 ",",507"
"10,43,42 ",",508"
"10,43,43 ",",509"
"10,43,44 ",",510"
"10,43,45 ",",511"
"10,43,46 ",",512"
"10,43,47 ",",513"
"10,43,48 ",",514"
"10,43,49 ",",515"
"10,43,50 ",",516"
"10,43,51 ",",517"
"10,43,52 ",",518"
"10,43,53 ",",519"
"10,43,54 ",",520"
"10,43,55 ",",521"
"10,43,56 ",",522"
"10,43,57 ",",523"
"10,43,58 ",",524"
"10,43,59 ",",525"
"10,44,00 ",",526"
"10,44,01 ",",527"
"10,44,02 ",",528"
"10,44,03 ",",529"
"10,44,04 ",",530"
"10,44,05 ",",531"
"10,44,06 ",",532"
"10,44,07 ",",533"
"10,44,08 ",",534"
"10,44,09 ",",535"
"10,44,10 ",",536"
"10,44,11 ",",537"
"10,44,12 ",",538"
"10,44,13 ",",539"
"10,44,14 ",",540"
"10,44,15 ",",541"
"10,44,16 ",",542"
"10,44,17 ",",543"
"10,44,18 ",",544"
"10,44,19 ",",545"
"10,44,20 ",",546"
"10,44,21 ",",547"
"10,44,22 ",",548"
"10,44,23 ",",549"
"10,44,24 ",",550"
"10,44,25 ",",551"
"10,44,26 ",",552"
"10,44,27 ",",553"
"10,44,28 ",",554"
"10,44,29 ",",555"
"10,44,30 ",",556"
"10,44,31 ",",557"
"10,44,32 ",",558"
"10,44,33 ",",559"
"10,44,34 ",",560"
"10,44,35 ",",561"
"10,44,36 ",",562"
"10,44,37 ",",563"
"10,44,38 ",",564"
"10,44,39 ",",565"
"10,44,40 ",",566"
"10,44,41 ",",567"
"10,44,42 ",",568"
"10,44,43 ",",569"
"10,44,44 ",",570"
"10,44,45 ",",571"
"10,44,46 ",",572"
"10,44,47 ",",573"
"10,44,48 ",",574"
"10,44,49 ",",575"
"10,44,50 ",",576"
"10,44,51 ",",577"
"10,44,52 ",",578"
"10,44,53 ",",579"
"10,44,54 ",",580"
"10,44,55 ",",581"
"10,44,56 ",",582"
"10,44,57 ",",583"
"10,44,58 ",",584"
"10,44,59 ",",585"
"10,45,00 ",",586"
"10,45,01 ",",587"
"10,45,02 ",",588"
"10,45,03 ",",589"
"10,45,04 ",",590"
"10,45,05 ",",591"
"10,45,06 ",",592"
"10,45,07 ",",593"
"10,45,08 ",",594"
"10,45,09 ",",595"
"10,45,10 ",",596"
"10,45,11 ",",597"
"10,45,12 ",",598"
"10,45,13 ",",599"
"10,45,14 ",",600"
"10,45,15 ",",601"
"10,45,16 ",",602"
"10,45,17 ",",603"
"10,45,18 ",",604"
"10,45,19 ",",605"
